tmk,building_value,land_value,total_value,land_class,n
11020052,414900,641600,1056500,RESIDENTIAL A,1
11020054,188100,740000,928100,RESIDENTIAL,1
11020055,93700,740000,833700,RESIDENTIAL,1
11020056,442800,740000,1182800,RESIDENTIAL,1
11020057,262400,740000,1002400,RESIDENTIAL A,1
11020058,79000,643800,722800,RESIDENTIAL,1
11020059,110000,740000,850000,RESIDENTIAL,1
11020060,63300,740000,803300,RESIDENTIAL,2
11020060,63300,740000,803300,RESIDENTIAL,2
11020061,46400,740000,786400,RESIDENTIAL,2
11020061,46400,740000,786400,RESIDENTIAL,2
11020062,49900,740000,789900,RESIDENTIAL,1
11020063,32400,760200,792600,RESIDENTIAL,1
11021001,367700,836600,1204300,RESIDENTIAL,1
11021002,444400,836600,1281000,RESIDENTIAL,1
11021003,77600,759000,836600,RESIDENTIAL,1
11021004,54700,750400,805100,RESIDENTIAL,1
11021005,96700,767600,864300,RESIDENTIAL,1
11021006,125600,836600,962200,RESIDENTIAL,1
11021007,146600,853900,1000500,RESIDENTIAL,1
11021008,222100,853900,1076000,RESIDENTIAL,1
11021009,129700,845300,975000,RESIDENTIAL,1
11021011,137700,862500,1000200,RESIDENTIAL,1
11021013,138700,1509400,1648100,RESIDENTIAL,1
11021014,278900,862500,1141400,RESIDENTIAL,1
11021015,118200,862600,980800,RESIDENTIAL,1
11021016,132700,862600,995300,RESIDENTIAL,1
11021017,205000,894200,1099200,RESIDENTIAL,1
11021019,395200,562400,957600,RESIDENTIAL,2
11021019,395100,596200,991300,RESIDENTIAL,2
11021020,111000,878700,989700,RESIDENTIAL,1
11021021,91300,743200,834500,RESIDENTIAL,1
11021022,329500,754800,1084300,RESIDENTIAL,1
11021023,800600,880900,1681500,RESIDENTIAL,1
11021024,161200,740000,901200,RESIDENTIAL,1
11021025,350600,806600,1157200,RESIDENTIAL A,1
11021026,397900,732600,1130500,RESIDENTIAL,1
11021027,494600,732600,1227200,RESIDENTIAL A,1
11021028,15600,732600,748200,RESIDENTIAL,1
11021029,369700,732600,1102300,RESIDENTIAL,1
11021030,237500,732600,970100,RESIDENTIAL,1
11021031,162900,732600,895500,RESIDENTIAL,1
11021032,379400,732600,1112000,RESIDENTIAL,1
11021033,180200,725200,905400,RESIDENTIAL,1
11021034,582500,717800,1300300,RESIDENTIAL A,1
11021035,550000,725200,1275200,RESIDENTIAL A,1
11021036,167100,732600,899700,RESIDENTIAL,1
11021037,211700,732600,944300,RESIDENTIAL,1
