tmk,year_tce,total_value,public_costce_discounted
59003044,2050,3734200,1503655.2368095294
59003045,2050,3522600,852223.4799240354
59003048,2075,1433000,270514.68097119516
59003063,2030,3172900,2568195.5663200067
59003064,2075,3071100,191746.82943124793
59003068,2050,2755100,1221015.2875185318
59003070,2030,3423600,2548245.0089036785
59003071,2050,3611700,1139257.410607155
59003072,2050,3970000,1071176.1708239582
59003075,2050,5016200,1983836.0368455974
59003081,2075,1823900,358513.86697537487
59019001,2100,3619300,272457.954175053
59019012,2075,4592300,1017025.3810859077
59019013,2075,2742100,607274.1975645466
59019014,2075,2751000,609245.2199044775
59019036,2075,3935000,816872.8357505226
59019038,2050,3224100,1444639.6708024614
59019041,2075,5765400,922584.9704353398
59019042,2050,4362100,1746419.322465995
59019045,2075,4865700,685166.3639194063
59019048,2050,3451400,1379487.0666374518
59019050,2050,2506200,839140.1542031933
59019051,2030,2997600,2100235.669986916
59019054,2100,2836800,300054.1519787163
59020001,2030,3943700,2693307.101664197
59020004,2030,3736300,2790373.7107540322
59020006,2030,3257800,2532459.029466435
59020008,2050,3877500,1301880.7435391427
59020009,2050,2893000,881479.5029125069
59020011,2075,2901000,199908.23277567234
59020012,2050,2800700,880709.9715576435
59020014,2050,3772600,1325688.6790866496
59020015,2075,1792200,324099.96481329616
59020016,2075,1532200,295365.9471422561
59020017,2030,2773600,2101415.2246882417
59020019,2050,2867000,667108.0705703321
59020020,2030,2344000,1771398.0991858752
59020028,2050,4018200,1314508.0626374967
59020029,2075,4351500,445003.163452233
59020033,2075,1655700,272455.1083050982
59020034,2030,3448400,2559223.6357511855
59020035,2030,3991500,2942030.364843975
59020036,2030,3634900,2729707.390601579
59020037,2075,3449800,334301.4630266783
59020038,2030,3916200,3160616.717098992
59020040,2050,3832900,1472874.4462633438
59020041,2050,2876200,1090384.1226613864
59020043,2050,5253200,2271388.4284521313
59020045,2050,4571800,2110384.1917079794
59020048,2030,4741600,3971015.351491215
59020049,2030,3563900,2984710.1423948756
59020050,2030,3703700,3101790.4414792503
59020051,2030,5194200,4350060.726066237
59020052,2050,4845100,2123538.3259321754
59020056,2030,3473100,2607435.214060898
59020057,2050,3303300,1018945.1391976975
59020058,2075,3014500,96476.98844054999
59020062,2030,4380300,3472178.891537609
59020063,2050,4396300,1558673.7283919116
61004057,2050,3689700,1651067.8936650255
61004065,2030,4732400,3785233.982413121
61004068,2050,4538500,1927005.9946190126
61004069,2075,6007800,1197574.4560058634
61004070,2050,4445900,1964251.4837892815
61004071,2050,4016700,1722164.9960726716
61004073,2050,4165700,1786266.889037046
61004080,2050,4572500,1931104.4288624504
61004081,2050,4923500,2076282.2382656103
61004082,2030,4140400,3331979.314109859
61004083,2050,4431200,1884313.6188843844
61004086,2050,4208400,1825498.1655766931
61004087,2050,4908600,2156758.187886635
61004088,2050,6173900,2736412.723548241
61004089,2075,10460200,2180919.1148674083
61004090,2075,10636100,2222179.1019335575
61004093,2050,6082700,2694976.00378364
61008005,2030,4729200,3951177.228262561
61008006,2050,3532700,1617086.3099950405
61008008,2075,2909500,588327.0810431398
61008009,2100,2727200,242091.7437339952
61008010,2075,4241100,939207.2312263465
61008011,2100,2531400,225020.18926364195
61008013,2100,5704100,578276.4356892605
61008014,2100,4737700,471343.34407702833
61008015,2100,7662000,757426.6517963919
