tmk,year_tce,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,point_count,percenthazard_ce05,landvalue_ce05,percenthazard_ce11,landvalue_ce11,percenthazard_ce20,landvalue_ce20,percenthazard_ce32,landvalue_ce32,public_costce,public_costce_discounted,discount_countywide,capped_discounted
53002035,2030,21.57540767,-157.8789498,2180.965012,206.4077439,7.912029598,0,0,0,0,6.486209804,5.59268455,4.66762123,3.541348199,1246.18556017,175.20015698,365.662012249,629.721829025,702.319500102,541.55191001,558.19900921,579.270031735,597.647730618,259800,938900,1198700,RESIDENTIAL,1,1,0.14058914063817257,806900.9879000001,0.2934250114398034,663403.2675,0.5053194717960748,464455.99090000003,0.563575379581667,409759.43249999994,1066700.9879,893345.2839551512,893345.2839551512,779700
53002037,2050,21.57506425,-157.8782046,2391.378738,195.608949,18.97927487,8.828653,0,0,0,19.61898685,18.09856752,15.18150539,12.78556708,1892.25639364,255.529757532,575.426107459,1065.40703377,1418.12779723,422.259629422,452.407257493,493.107458158,537.04209256,752000,875800,1627800,RESIDENTIAL,1,1,0.13503971152685892,757531.968,0.3040952110892824,609473.599,0.5630352405471606,382693.94700000004,0.7494374451561755,219443.07539999997,1361473.599,631308.129403024,631308.129403024,631308.129403024
53002041,2024,21.57576853,-157.8796598,1589.076447,163.2904376,5.519333596,0,0,0,0,7.371369014,6.470986004,5.604716604,4.097386653,1644.96132755,272.249446361,549.428052224,998.180582709,1309.61803459,231.963698493,283.873040211,362.594593057,428.20013325,349800,985400,1335200,RESIDENTIAL A,1,1,0.16550507407155124,822311.373,0.3340066681338438,656269.5022000001,0.6068109723866194,387448.44060000003,0.7961391022733286,200884.62939999995,1172111.3730000001,1172111.3730000001,1172111.3730000001,779700
53002043,2100,21.57477967,-157.878567,1877.330276,191.9253552,60.18369752,50.05759126,38.44551036,21.97967235,3.468345358,60.20557421,59.73781052,57.99830633,40.26778636,467.785605272,0,0,0,0,0,0,0,0,113000,630000,743000,RESIDENTIAL,1,1,0,630000,0,630000,0,630000,0,630000,743000,78588.6332910978,78588.6332910978,78588.6332910978
53002046,2050,21.5751375,-157.8784371,320.1611023,96.82444262,23.24520268,13.15060623,1.579182622,0,0,23.26346757,22.78224519,21.30211692,17.69648842,2420.57791699,329.435885957,706.451140851,1240.94866341,1506.09225972,904.431720847,920.845315365,939.852024858,971.118468371,555700,999300,1555000,RESIDENTIAL A,1,2,0.13609802999717316,863297.2686,0.2918522621777345,707652.2964,0.5126662747353845,486992.86620000005,0.6222035858250052,377531.5428,1263352.2963999999,585809.798738006,585809.798738006,585809.798738006
53002049,2075,21.57500752,-157.8780107,2173.451553,187.4244754,21.40995504,14.37602955,7.260682368,0.725768124,0,17.20402693,15.91447193,1.935776834,0,729.790598856,0,0,13.738284425,85.0253774944,0,0,0,170.980018597,514600,612200,1126800,RESIDENTIAL,1,2,0,612200,0,612200,0.01882496766406112,600675.335,0.11650653985908216,540874.4146,1115275.335,246992.42701785342,246992.42701785342,246992.42701785342
53002051,2030,21.57530283,-157.8787397,1332.795303,151.9083885,14.85906907,5.885055428,0,0,0,12.87776792,12.19112667,11.63659838,10.73903502,1304.68320093,182.858251702,386.156505276,668.355589357,764.183297359,570.219506847,579.223711851,594.12433932,609.134268152,219500,892900,1112400,RESIDENTIAL A,1,1,0.14015528947690561,767755.6005,0.2959772188380606,628622.1367,0.5122742355236772,435490.5454,0.585723259726405,369907.93330000003,987255.6005,826811.0227415172,826811.0227415172,779700
53006018,2024,21.58667683,-157.8878231,1411.385071,158.3318043,4.35660341,0.04452978,0,0,0,13.00465258,11.49154762,9.256205104,7.472736537,574.166692272,90.5824288997,176.358624561,323.543477047,505.503993072,0,0,0,0.490181151416,199000,802300,1001300,RESIDENTIAL A,1,1,0.15776329438627273,675726.7451000001,0.30715579105284224,555868.7412,0.5635009508592808,350203.1477,0.8804133013562682,95944.6501,874726.7451000001,874726.7451000001,874726.7451000001,779700
53006019,2030,21.58683168,-157.8878845,1860.265121,187.5784597,6.798062538,2.192534218,0,0,0,11.17529512,9.887237135,7.449967817,5.350518754,432.660134373,48.0709604403,109.51039232,213.158442414,344.69566082,0,0,0,0.0936639776323,394400,839500,1233900,RESIDENTIAL,1,1,0.11110559217563043,746226.5129999999,0.2531095047125145,627014.155,0.4926694776788339,425904.3745,0.79668921038802,170679.58450000003,1140626.5129999998,955256.7473934733,955256.7473934733,779700
53006020,2024,21.58709482,-157.8880144,4989.817932,307.1287391,0,0,0,0,0,2.209644606,0.881169261,0,0,519.778014783,53.7029332632,124.466078746,241.087849888,387.004413576,0,0,0,2.31067402766,271600,863400,1135000,RESIDENTIAL A,1,1,0.10331897797874391,774194.3754,0.23946006796374955,656650.236,0.46382848645233826,462930.90479999996,0.7445571043199449,220549.48619999998,1045794.3754,1045794.3754,1045794.3754,779700
